time,open,high,low,close,volume
2022-02-04 20:00:00,227.811307503,227.811307503,227.811307503,227.811307503,148
2022-02-04 19:00:00,227.521788773,227.621622818,227.521788773,227.601656009,398
2022-02-04 18:00:00,227.551738986,227.571705795,227.132435997,227.142419401,2410
2022-02-04 17:00:00,228.010975594,228.010975594,227.571705795,227.621622818,577894
2022-02-04 16:00:00,227.621622818,229.837938619,227.571705795,228.070876021,1917040
2022-02-04 15:00:00,227.711473458,227.801324099,226.483514704,227.611639413,914106
2022-02-04 14:00:00,226.912801098,228.050909212,226.872867479,227.699293705,1141024
2022-02-04 13:00:00,225.425273826,227.092502379,225.295489567,226.922784502,873356
2022-02-04 12:00:00,225.724775961,225.954394265,224.671526785,225.385340208,981771
2022-02-04 11:00:00,225.729767663,226.713133007,224.576684442,225.729767663,1768786
2022-02-04 10:00:00,229.328784989,229.867888832,225.275522758,225.729767663,1419613
2022-02-04 09:00:00,227.651573031,230.578707233,227.651573031,230.057573518,22392
2022-02-04 08:00:00,228.989349236,229.558403293,228.989349236,229.558403293,1784
2022-02-04 07:00:00,228.989349236,228.989349236,228.989349236,228.989349236,770
2022-02-04 06:00:00,230.506826721,230.506826721,230.167390968,230.167390968,1348
2022-02-04 05:00:00,232.184038679,232.184038679,232.184038679,232.184038679,142
2022-02-03 18:00:00,231.155748014,232.76307614,231.155748014,232.76307614,209122
2022-02-03 17:00:00,231.155748014,232.87289359,231.155748014,232.76307614,280529
2022-02-03 16:00:00,230.756411834,231.525133981,230.167390968,231.165731419,1645001
2022-02-03 15:00:00,231.265565464,231.445266745,230.496843316,230.826295665,864811
2022-02-03 14:00:00,230.976046733,231.575051003,230.446926294,231.255582059,633627
2022-02-03 13:00:00,231.155748014,231.94443697,230.856245879,230.966063328,877390
2022-02-03 12:00:00,231.994353993,232.593358263,231.085864183,231.105830992,1208419
2022-02-03 11:00:00,230.606660766,232.493524218,230.167390968,231.994353993,1680571
2022-02-03 10:00:00,231.415316531,233.102511893,230.12745735,230.606660766,1507612
2022-02-03 09:00:00,232.134121656,234.442284779,231.015980351,231.405333127,23852
2022-02-03 08:00:00,232.134121656,232.972727635,232.134121656,232.96274423,3813
2022-02-03 07:00:00,232.114154847,232.36373996,232.114154847,232.36373996,1650
2022-02-03 06:00:00,231.974387184,231.974387184,231.814652712,231.814652712,714
2022-02-03 05:00:00,231.794685903,232.194022083,230.626627575,231.614984622,5440
2022-02-02 20:00:00,231.664901644,233.402014029,231.664901644,233.402014029,1468
2022-02-02 19:00:00,233.621648928,233.711499569,232.223972297,232.862910185,3538
2022-02-02 18:00:00,233.621648928,235.029308964,233.601682119,233.621748762,4912
2022-02-02 17:00:00,235.029308964,235.029308964,232.613325072,233.621648928,398944
2022-02-02 16:00:00,234.320487244,235.458595358,234.170736176,235.009342155,2177909
2022-02-02 15:00:00,234.664914699,235.059259177,234.065910429,234.330370814,917337
2022-02-02 14:00:00,234.79969066,234.899524705,233.621648928,234.649939592,625907
2022-02-02 13:00:00,233.16241232,234.819657469,233.067569978,234.779723851,859627
2022-02-02 12:00:00,234.29053703,234.829640874,233.142445511,233.192362534,1147561
2022-02-02 11:00:00,233.352097006,234.350437457,232.154088465,234.300520435,1289564
2022-02-02 10:00:00,230.706494811,234.669906401,229.628287124,233.336223393,1794189
2022-02-02 09:00:00,230.92612971,232.313822937,230.916146306,230.916146306,12562
2022-02-02 08:00:00,231.485200363,231.934453566,231.485200363,231.934453566,2666
2022-02-02 05:00:00,231.54510079,231.614984622,231.54510079,231.614984622,1060
2022-02-01 20:00:00,232.114154847,232.114154847,231.624968026,231.814652712,873
2022-02-01 19:00:00,232.024304206,232.114154847,232.024304206,232.114154847,1117
2022-02-01 18:00:00,232.513491027,232.513491027,231.614984622,231.946832987,2127
2022-02-01 17:00:00,231.974387184,232.36373996,231.614984622,231.634951431,438860
2022-02-01 16:00:00,229.728121169,232.533457836,229.628287124,231.734785476,1735460
2022-02-01 15:00:00,230.516810125,231.055913969,229.368718607,229.738104574,902359
2022-02-01 14:00:00,230.686528002,231.285532273,230.047590114,230.476876507,918982
2022-02-01 13:00:00,231.43528334,231.515150576,229.568386697,230.666561193,818469
2022-02-01 12:00:00,231.814652712,232.114154847,230.247258204,231.43528334,1231342
2022-02-01 11:00:00,232.793026354,232.982711039,229.388685416,231.834619521,2109846
