time,open,high,low,close,volume
2022-03-07 20:00:00,190.23,190.23,190.01,190.01,773
2022-03-07 19:00:00,190.23,190.4,190.1,190.25,2527
2022-03-07 18:00:00,190.11,190.48,190.01,190.03,2990
2022-03-07 17:00:00,190.7,190.99,190.2,190.5,148466
2022-03-07 16:00:00,192.29,192.55,190.045,190.74,3033193
2022-03-07 15:00:00,192.51,193.42,192.12,192.26,1168717
2022-03-07 14:00:00,191.0,193.13,190.96,192.535,1076343
2022-03-07 13:00:00,191.21,192.02,190.28,191.07,1342478
2022-03-07 12:00:00,191.74,192.94,191.03,191.255,1888419
2022-03-07 11:00:00,195.01,195.26,191.45,191.75,1975079
2022-03-07 10:00:00,197.51,200.18,195.01,195.01,1738397
2022-03-07 09:00:00,195.94,198.01,195.94,197.97,6138
2022-03-07 08:00:00,195.31,198.0,195.31,198.0,3394
2022-03-07 07:00:00,195.3,196.0,195.3,196.0,1798
2022-03-07 06:00:00,195.67,195.67,195.19,195.29,1121
2022-03-04 20:00:00,200.0,200.19,200.0,200.19,356
2022-03-04 19:00:00,200.27,200.2799,200.0,200.0,1717
2022-03-04 18:00:00,199.82,200.0,199.82,200.0,261
2022-03-04 17:00:00,200.29,200.29,198.9,200.0,234017
2022-03-04 16:00:00,198.555,200.52,198.545,200.14,1893210
2022-03-04 15:00:00,199.94,200.08,198.5,198.54,1036322
2022-03-04 14:00:00,200.33,201.26,199.895,199.93,983209
2022-03-04 13:00:00,197.9,200.54,197.44,200.24,959307
2022-03-04 12:00:00,197.24,198.76,196.86,197.8904,1485528
2022-03-04 11:00:00,203.545,203.95,197.185,197.2287,2438874
2022-03-04 10:00:00,205.01,206.37,202.01,203.545,1198435
2022-03-04 09:00:00,204.7,206.712,204.7,204.7,4775
2022-03-04 08:00:00,205.15,205.15,205.15,205.15,237
2022-03-03 20:00:00,207.4,207.4,204.0,204.0,3616
2022-03-03 19:00:00,207.5,207.5,207.5,207.5,299
2022-03-03 18:00:00,207.6599,207.6599,207.35,207.5,711
2022-03-03 17:00:00,207.23,207.5,206.82,206.97,248324
2022-03-03 16:00:00,208.25,208.25,206.56,207.29,2151881
2022-03-03 15:00:00,209.38,210.06,208.13,208.2572,1013349
2022-03-03 14:00:00,210.31,210.63,209.195,209.39,819786
2022-03-03 13:00:00,208.87,211.05,208.74,210.32,778553
2022-03-03 12:00:00,208.26,209.2158,207.27,208.895,843583
2022-03-03 11:00:00,210.7,211.07,208.215,208.24,888140
2022-03-03 10:00:00,210.1,211.5,209.66,210.75,687412
2022-03-03 09:00:00,208.65,210.29,207.34,210.29,7355
2022-03-03 08:00:00,208.21,208.65,208.2,208.65,5293
2022-03-02 19:00:00,207.67,207.67,207.67,207.67,250
2022-03-02 17:00:00,208.48,208.48,207.51,208.4,243980
2022-03-02 16:00:00,208.74,209.29,207.91,208.48,2040264
2022-03-02 15:00:00,209.16,209.72,208.54,208.76,713436
2022-03-02 14:00:00,208.84,209.665,208.84,209.15,796612
2022-03-02 13:00:00,209.74,210.005,208.55,208.83,579139
2022-03-02 12:00:00,207.53,210.54,207.04,209.74,1252310
2022-03-02 11:00:00,207.05,208.76,206.45,207.53,1192302
2022-03-02 10:00:00,206.14,208.2999,205.5,207.02,1018857
2022-03-02 09:00:00,206.07,208.448,205.59,205.65,8374
2022-03-02 08:00:00,206.21,206.87,205.81,206.87,2263
2022-03-02 07:00:00,206.5,206.5,206.5,206.5,228
2022-03-02 05:00:00,205.75,206.8,205.75,206.8,2620
2022-03-01 20:00:00,205.0,206.0,204.9999,205.8,5496
2022-03-01 19:00:00,204.0,205.0,203.87,204.5,4881
2022-03-01 18:00:00,208.97,208.97,203.5,203.5,15038
2022-03-01 17:00:00,208.97,210.18,208.7,208.97,94746
2022-03-01 16:00:00,208.91,210.0,207.39,208.97,2070367
2022-03-01 15:00:00,207.79,209.84,207.28,208.92,1022856
2022-03-01 14:00:00,209.72,210.12,207.5,207.7524,856425
2022-03-01 13:00:00,208.96,209.9487,208.0,209.73,916389
2022-03-01 12:00:00,211.19,211.9,208.62,208.97,1239118
2022-03-01 11:00:00,213.48,214.34,210.77,211.18,1065111
2022-03-01 10:00:00,215.5668,215.5668,212.93,213.46,951037
2022-03-01 09:00:00,213.3112,215.58,213.31,214.66,2312
2022-03-01 08:00:00,214.12,214.12,214.0,214.0,1281
2022-02-28 20:00:00,216.55,216.55,215.8,216.25,732
2022-02-28 19:00:00,215.8,217.35,215.8,217.35,2702
2022-02-28 18:00:00,215.5,215.55,215.5,215.55,203
2022-02-28 17:00:00,216.12,216.7,215.52,216.0,624891
2022-02-28 16:00:00,213.89,216.15,213.24,216.11,1859109
2022-02-28 15:00:00,216.17,216.17,213.36,213.91,855231
2022-02-28 14:00:00,215.95,216.76,215.38,216.17,602280
2022-02-28 13:00:00,217.965,218.18,215.55,215.99,526887
2022-02-28 12:00:00,218.3263,218.3263,217.16,218.05,628265
2022-02-28 11:00:00,216.79,218.65,214.6,218.26,1108040
2022-02-28 10:00:00,215.02,217.57,215.0,216.8,749007
2022-02-28 09:00:00,215.4899,218.722,215.17,215.17,2181
2022-02-28 08:00:00,215.49,216.45,215.31,216.45,587
2022-02-25 20:00:00,218.61,218.61,218.61,218.61,1000
2022-02-25 19:00:00,219.28,219.28,219.28,219.28,593
2022-02-25 18:00:00,219.27,219.28,219.27,219.28,411
2022-02-25 17:00:00,219.27,219.5,219.0,219.5,187665
2022-02-25 16:00:00,218.06,219.54,217.49,219.18,1430278
2022-02-25 15:00:00,219.87,220.16,217.62,218.13,812936
2022-02-25 14:00:00,219.81,220.68,219.55,219.86,741610
2022-02-25 13:00:00,219.99,220.55,219.29,219.73,582330
2022-02-25 12:00:00,217.96,220.155,217.25,220.025,963433
2022-02-25 11:00:00,214.57,218.58,214.25,217.845,1008129
2022-02-25 10:00:00,218.515,218.515,214.38,214.57,954922
2022-02-25 09:00:00,216.757,218.01,216.757,218.01,1087
2022-02-25 08:00:00,216.37,216.79,215.85,216.1,2824
2022-02-25 06:00:00,216.75,216.75,216.75,216.75,683
2022-02-24 20:00:00,216.0,216.8401,216.0,216.8401,900
2022-02-24 19:00:00,216.35,216.35,216.35,216.35,147
2022-02-24 17:00:00,217.3,217.3,215.25,217.0,269273
2022-02-24 16:00:00,214.955,217.8626,214.53,217.2,2043225
2022-02-24 15:00:00,211.94,215.66,211.8,214.95,1059778
2022-02-24 14:00:00,210.2,213.88,209.99,211.885,893498
2022-02-24 13:00:00,211.71,212.68,209.88,210.27,1009983
2022-02-24 12:00:00,210.01,212.06,209.72,211.67,1154749
2022-02-24 11:00:00,207.02,210.32,205.25,209.98,2078485
2022-02-24 10:00:00,207.6,209.12,200.59,207.06,2522643
2022-02-24 09:00:00,207.25,215.411,206.0,207.41,14639
2022-02-24 08:00:00,207.62,207.94,206.05,207.0,6812
2022-02-24 07:00:00,207.25,208.5,206.94,208.5,1329
2022-02-24 06:00:00,209.7,209.7,208.23,208.23,4027
2022-02-24 05:00:00,210.35,211.5,209.0,209.55,6579
2022-02-23 20:00:00,215.0,215.0,215.0,215.0,317
2022-02-23 19:00:00,215.5,215.6,215.5,215.6,1041
2022-02-23 18:00:00,215.55,215.55,215.55,215.55,110
2022-02-23 17:00:00,215.95,216.39,215.52,215.52,481397
2022-02-23 16:00:00,216.47,217.46,215.42,215.99,1777509
2022-02-23 15:00:00,217.7,218.0999,216.08,216.51,777529
2022-02-23 14:00:00,219.57,219.57,217.23,217.71,675468
