time,open,high,low,close,volume
2022-02-04 20:00:00,365.184621442,365.184621442,364.787044216,365.184621442,1302
2022-02-04 19:00:00,364.200617807,365.15480315,364.200617807,364.290072683,1636
2022-02-04 18:00:00,364.637952756,365.174682011,363.832858873,364.449103574,6576
2022-02-04 17:00:00,365.373470624,365.502683222,363.793101151,365.194560872,40193
2022-02-04 16:00:00,366.23820109,368.703179891,365.214439733,365.363531193,826404
2022-02-04 15:00:00,363.93225318,366.268019382,363.425342217,366.263049667,349009
2022-02-04 14:00:00,363.107280436,364.518679588,362.819036947,363.918337977,503717
2022-02-04 13:00:00,362.69976378,363.78316172,362.043761357,363.047643852,395492
2022-02-04 12:00:00,360.545590975,363.117219867,358.833325257,362.729582071,326954
2022-02-04 11:00:00,361.715760145,364.657831617,360.572725621,360.572725621,549151
2022-02-04 10:00:00,358.276717141,362.620248334,358.227019988,361.601456693,373921
2022-02-04 09:00:00,353.843731072,357.620714718,353.843731072,357.620714718,7168
2022-02-04 08:00:00,354.817795276,354.817795276,354.807855845,354.807855845,519
2022-02-04 07:00:00,354.062398546,354.062398546,352.800090854,352.849788007,1683
2022-02-04 06:00:00,357.372228952,357.372228952,357.372228952,357.372228952,364
2022-02-04 05:00:00,360.045935796,360.045935796,360.045935796,360.045935796,118
2022-02-03 20:00:00,359.807389461,359.807389461,359.807389461,359.807389461,100
2022-02-03 19:00:00,358.813446396,359.409812235,358.813446396,359.310417929,1514
2022-02-03 18:00:00,358.813446396,358.813446396,358.813446396,358.813446396,1000
2022-02-03 17:00:00,356.706287099,360.940484555,355.950890369,358.793567535,36564
2022-02-03 16:00:00,358.231989703,359.061932162,355.990648092,356.616832223,577228
2022-02-03 15:00:00,360.075754088,360.602543913,357.481562689,358.207141127,284327
2022-02-03 14:00:00,359.439630527,360.165208964,358.753809812,360.045935796,205564
2022-02-03 13:00:00,361.606426408,362.113337371,358.965519685,359.429691096,188646
2022-02-03 12:00:00,362.461217444,363.544615385,361.497092671,361.497092671,242707
2022-02-03 11:00:00,359.260720775,362.918431254,359.260720775,362.647581769,322717
2022-02-03 10:00:00,359.409812235,362.590430042,358.236959419,359.230902483,287498
2022-02-03 09:00:00,360.304360993,360.304360993,359.370054512,359.409812235,2223
2022-02-03 08:00:00,359.777571169,360.56278619,358.555021199,360.56278619,2317
2022-02-02 20:00:00,359.320357359,359.688116293,358.455626893,358.455626893,1148
2022-02-02 19:00:00,359.18120533,359.270660206,359.18120533,359.270660206,419
2022-02-02 18:00:00,358.316474864,359.310417929,358.316474864,359.310417929,2188
2022-02-02 17:00:00,360.86096911,361.854912174,357.083985463,359.201084191,60441
2022-02-02 16:00:00,361.32812235,361.854912174,359.891874621,360.86096911,531198
2022-02-02 15:00:00,361.566668686,362.684854634,361.17903089,361.288364627,242545
2022-02-02 14:00:00,360.791393095,361.795275591,360.33427868,361.596486978,174626
2022-02-02 13:00:00,358.376111448,361.149212598,358.236959419,360.811271956,200400
2022-02-02 12:00:00,359.568843125,359.717934585,357.252955784,358.376111448,244926
2022-02-02 11:00:00,356.323619019,359.956480921,355.662646881,359.399872804,420083
2022-02-02 10:00:00,360.204966687,366.297837674,356.16001599,356.423013325,567962
2022-02-02 09:00:00,360.900726832,361.854912174,360.900726832,361.48715324,31589
2022-02-02 08:00:00,361.795275591,361.795275591,361.795275591,361.795275591,220
2022-02-02 07:00:00,360.761574803,360.761574803,360.761574803,360.761574803,117
2022-02-02 06:00:00,360.851029679,360.851029679,360.851029679,360.851029679,314
2022-02-01 20:00:00,361.685941853,361.685941853,360.831150818,360.831150818,602
2022-02-01 18:00:00,361.854912174,361.854912174,359.807389461,361.407637795,29081
2022-02-01 17:00:00,361.854912174,361.854912174,360.841090248,360.841090248,43387
2022-02-01 16:00:00,359.48932768,362.332004846,359.350175651,361.795275591,781430
2022-02-01 15:00:00,358.475505754,359.688116293,357.660472441,359.499267111,259737
2022-02-01 14:00:00,359.310417929,359.47938825,357.561078134,358.356232586,251211
2022-02-01 13:00:00,358.394996366,359.320357359,357.312592368,359.290539067,266739
2022-02-01 12:00:00,357.372228952,358.555021199,356.010526953,358.425808601,344928
2022-02-01 11:00:00,357.938776499,357.953685645,354.062398546,357.33247123,480096
